SNo,District Code,Block Code,FTO No.,Financial Institution,Signatory Date,No of Transaction,Amount(In Rs.),No of Transaction Processed,Amount(In Rs.),No of Transaction Rejected,Amount(In Rs.),Total Processed Amount(In Rs.),No of Invalid Account
117,212,212008,AP0212008_080422FTO_6160,Bank,09-04-2022,1,5737,8,5737,0,0,5737,0
118,212,212020,AP0212020_080422APB_FTO_6165,Bank,08-04-2022,1,27485,31,27485,0,0,27485,0
119,212,212008,AP0212008_080422APB_FTO_6199,Bank,09-04-2022,1,56908,101,56908,0,0,56908,0
120,212,212004,AP0212004_080422FTO_6206,Bank,08-04-2022,1,211567,211,186221,28,25346,186221,0
121,212,212015,AP0212015_080422FTO_6281,Bank,08-04-2022,1,55769,67,53464,3,2305,53464,0
122,212,212015,AP0212015_080422FTO_6303,Bank,08-04-2022,1,46674,67,45578,2,1096,45578,0
123,212,212015,AP0212015_080422APB_FTO_6333,Bank,08-04-2022,1,72976,55,71648,1,1328,71648,0
124,212,212015,AP0212015_080422APB_FTO_6373,Bank,08-04-2022,1,122062,108,122062,0,0,122062,0
125,212,212015,AP0212015_080422APB_FTO_6454,Bank,08-04-2022,1,184831,279,181880,4,2951,181880,0
126,212,212015,AP0212015_080422APB_FTO_6486,Bank,08-04-2022,1,25708,31,24803,1,905,24803,0
127,212,212020,AP0212020_080422FTO_6487,Bank,08-04-2022,1,7156,9,7156,0,0,7156,0
128,212,212020,AP0212020_080422APB_FTO_6505,Bank,08-04-2022,1,51237,67,50362,1,875,50362,0
129,212,212015,AP0212015_080422APB_FTO_6538,Bank,08-04-2022,1,131404,213,130043,3,1361,130043,0
130,212,212010,AP0212010_080422FTO_6745,Bank,08-04-2022,1,3955,7,3955,0,0,3955,0
131,212,212010,AP0212010_080422APB_FTO_6754,Bank,08-04-2022,1,17632,32,17632,0,0,17632,0
132,212,212026,AP0212026_080422APB_FTO_6987,Bank,08-04-2022,1,134679,138,133959,1,720,133959,0
133,212,212026,AP0212026_080422FTO_7032,Bank,08-04-2022,1,5892,4,5892,0,0,5892,0
134,212,212032,AP0212032_080422FTO_7112,Bank,08-04-2022,1,54476,67,54476,0,0,54476,0
135,212,212007,AP0212007_080422FTO_7184,Bank,08-04-2022,1,6383,17,5914,1,469,5914,0
136,212,212032,AP0212032_080422APB_FTO_7203,Bank,08-04-2022,1,346477,455,339022,9,7455,339022,0
137,212,212007,AP0212007_080422APB_FTO_7210,Bank,08-04-2022,1,81182,216,80503,2,679,80503,0
138,212,212024,AP0212024_080422APB_FTO_7372,Bank,08-04-2022,1,34564,38,34564,0,0,34564,0
139,212,212013,AP0212013_080422FTO_7431,Bank,08-04-2022,1,1419,3,1419,0,0,1419,0
140,212,212013,AP0212013_080422APB_FTO_7436,Bank,08-04-2022,1,45410,99,45410,0,0,45410,0
141,212,212008,AP0212008_090422FTO_7534,Bank,09-04-2022,1,652,1,652,0,0,652,0
142,212,212008,AP0212008_090422APB_FTO_7535,Bank,09-04-2022,1,20212,47,20212,0,0,20212,0
143,212,212024,AP0212024_090422FTO_7679,Bank,09-04-2022,1,27567,39,26354,2,1213,26354,0
144,212,212024,AP0212024_090422APB_FTO_7685,Bank,09-04-2022,1,150635,236,147613,4,3022,147613,0
145,212,212024,AP0212024_090422APB_FTO_7688,Bank,09-04-2022,1,13562,15,13562,0,0,13562,0
146,212,212011,AP0212011_090422FTO_8134,Bank,09-04-2022,1,7294,6,5962,1,1332,5962,0
147,212,212008,AP0212008_090422FTO_8136,Bank,09-04-2022,1,12375,18,11697,1,678,11697,0
148,212,212008,AP0212008_090422APB_FTO_8142,Bank,09-04-2022,1,85374,140,83340,3,2034,83340,0
149,212,212011,AP0212011_090422APB_FTO_8164,Bank,09-04-2022,1,72744,83,71780,1,964,71780,0
150,212,212008,AP0212008_090422FTO_8166,Bank,09-04-2022,1,2658,3,2658,0,0,2658,0
151,212,212011,AP0212011_090422FTO_8312,Bank,09-04-2022,1,2758,4,2758,0,0,2758,0
152,212,212011,AP0212011_090422APB_FTO_8317,Bank,09-04-2022,1,38014,56,38014,0,0,38014,0
153,212,212026,AP0212026_090422FTO_8596,Bank,09-04-2022,1,14395,11,14395,0,0,14395,0
154,212,212026,AP0212026_090422APB_FTO_8598,Bank,09-04-2022,1,24205,25,24205,0,0,24205,0
155,212,212021,AP0212021_100422FTO_8817,Bank,10-04-2022,1,65007,59,65007,0,0,65007,0
156,212,212021,AP0212021_100422APB_FTO_8818,Bank,10-04-2022,1,230325,224,227699,2,2626,227699,0
157,212,212022,AP0212022_100422FTO_8853,Bank,11-04-2022,1,1236,1,1236,0,0,1236,0
158,212,212022,AP0212022_100422APB_FTO_8854,Bank,11-04-2022,1,8652,7,8652,0,0,8652,0
159,212,212020,AP0212020_110422FTO_9164,Bank,12-04-2022,1,1500,2,1500,0,0,1500,0
160,212,212020,AP0212020_110422APB_FTO_9166,Bank,12-04-2022,1,6460,8,6460,0,0,6460,0
161,212,212022,AP0212022_110422FTO_9420,Bank,11-04-2022,1,19796,17,19796,0,0,19796,0
162,212,212022,AP0212022_110422APB_FTO_9423,Bank,11-04-2022,1,81164,74,78232,3,2932,78232,0
163,212,212021,AP0212021_110422FTO_9668,Bank,11-04-2022,1,5194,5,5194,0,0,5194,0
164,212,212021,AP0212021_110422APB_FTO_9705,Bank,11-04-2022,1,31783,40,31783,0,0,31783,0
165,212,212021,AP0212021_110422APB_FTO_9720,Bank,11-04-2022,1,34765,29,34765,0,0,34765,0
166,212,212019,AP0212019_110422FTO_9775,Bank,11-04-2022,1,2100,1,1000,1,1100,1000,0
167,212,212019,AP0212019_110422APB_FTO_9777,Bank,11-04-2022,1,50853,54,50853,0,0,50853,0
168,212,212028,AP0212028_110422FTO_9868,Bank,12-04-2022,1,3076,6,3076,0,0,3076,0
169,212,212028,AP0212028_110422APB_FTO_9872,Bank,12-04-2022,1,34420,56,34420,0,0,34420,0
170,212,212003,AP0212003_110422FTO_9929,Bank,11-04-2022,1,87867,109,84396,4,3471,84396,0
171,212,212003,AP0212003_110422APB_FTO_9943,Bank,11-04-2022,1,249627,338,247510,3,2117,247510,0
172,212,212003,AP0212003_110422APB_FTO_9952,Bank,11-04-2022,1,3468,17,3468,0,0,3468,0
173,212,212023,AP0212023_110422APB_FTO_10000,Bank,12-04-2022,1,55073,72,54137,2,936,54137,0
174,212,212021,AP0212021_110422FTO_10057,Bank,11-04-2022,1,53798,31,43516,7,10282,43516,0
175,212,212021,AP0212021_110422FTO_10062,Bank,11-04-2022,1,12968,9,12968,0,0,12968,0
176,212,212021,AP0212021_110422APB_FTO_10067,Bank,11-04-2022,1,71115,39,69510,1,1605,69510,0
177,212,212021,AP0212021_110422APB_FTO_10073,Bank,11-04-2022,1,25678,37,23649,2,2029,23649,0
178,212,212021,AP0212021_110422APB_FTO_10075,Bank,11-04-2022,1,51185,39,51185,0,0,51185,0
179,212,212021,AP0212021_110422APB_FTO_10077,Bank,11-04-2022,1,22342,22,21330,1,1012,21330,0
180,212,212026,AP0212026_110422FTO_10114,Bank,11-04-2022,1,133503,123,133503,0,0,133503,0
181,212,212026,AP0212026_110422APB_FTO_10124,Bank,11-04-2022,1,393445,371,385315,8,8130,385315,0
182,212,212007,AP0212007_110422FTO_10128,Bank,11-04-2022,1,9120,11,9120,0,0,9120,0
183,212,212018,AP0212018_110422FTO_10131,Bank,11-04-2022,1,1812,9,1812,0,0,1812,0
184,212,212018,AP0212018_110422APB_FTO_10133,Bank,11-04-2022,1,3433,15,3147,1,286,3147,0
185,212,212007,AP0212007_110422APB_FTO_10135,Bank,11-04-2022,1,157510,206,155231,3,2279,155231,0
186,212,212018,AP0212018_110422APB_FTO_10138,Bank,11-04-2022,1,33252,44,32451,1,801,32451,0
187,212,212018,AP0212018_110422FTO_10141,Bank,11-04-2022,1,7047,9,7047,0,0,7047,0
188,212,212016,AP0212016_110422FTO_10141,Bank,11-04-2022,1,5832,4,5832,0,0,5832,0
189,212,212016,AP0212016_110422APB_FTO_10143,Bank,11-04-2022,1,24444,18,24444,0,0,24444,0
190,212,212029,AP0212029_110422FTO_10161,Bank,11-04-2022,1,12873,11,12873,0,0,12873,0
191,212,212029,AP0212029_110422APB_FTO_10163,Bank,11-04-2022,1,124214,132,123454,2,760,123454,0
192,212,212024,AP0212024_110422FTO_10188,Bank,11-04-2022,1,40392,36,35340,6,5052,35340,0
193,212,212006,AP0212006_110422FTO_10190,Bank,11-04-2022,1,14346,23,13632,1,714,13632,0
