SNo,District Code,Block Code,FTO No.,Financial Institution,Signatory Date,No of Transaction,Amount(In Rs.),No of Transaction Processed,Amount(In Rs.),No of Transaction Rejected,Amount(In Rs.),Total Processed Amount(In Rs.),No of Invalid Account
7421,212,212026,AP0212026_220622APB_FTO_101880,Bank,22-06-2022,1,104200,115,102200,2,2000,102200,0
7422,212,212020,AP0212020_220622FTO_101881,Bank,22-06-2022,1,218770,182,216386,2,2384,216386,0
7423,212,212025,AP0212025_220622FTO_101883,Bank,22-06-2022,1,73701,56,70358,3,3343,70358,0
7424,212,212025,AP0212025_220622FTO_101885,Bank To Cooperative,22-06-2022,1,7696,0,0,0,0,0,0
7425,212,212020,AP0212020_220622APB_FTO_101919,Bank,22-06-2022,1,984132,790,975319,7,8813,975319,0
7426,212,212020,AP0212020_220622APB_FTO_101927,Bank,22-06-2022,1,371184,336,365643,5,5541,365643,0
7427,212,212032,AP0212032_220622APB_FTO_101951,Bank,22-06-2022,1,40012,58,40012,0,0,40012,0
7428,212,212032,AP0212032_220622APB_FTO_101959,Bank,22-06-2022,1,52439,52,52439,0,0,52439,0
7429,212,212017,AP0212017_220622FTO_102009,Bank,23-06-2022,1,36256,37,36256,0,0,36256,0
7430,212,212006,AP0212006_220622FTO_102068,Bank,22-06-2022,1,238535,204,235088,3,3447,235088,0
7431,212,212021,AP0212021_220622FTO_102078,Bank,23-06-2022,1,273386,199,271852,1,1534,271852,0
7432,212,212006,AP0212006_220622FTO_102090,Bank,22-06-2022,1,215287,193,212278,3,3009,212278,0
7433,212,212006,AP0212006_220622FTO_102110,Bank,22-06-2022,1,147050,136,142782,5,4268,142782,0
7434,212,212021,AP0212021_220622APB_FTO_102119,Bank,23-06-2022,1,452950,325,450643,2,2307,450643,0
7435,212,212006,AP0212006_220622APB_FTO_102124,Bank,22-06-2022,1,266540,208,266540,0,0,266540,0
7436,212,212018,AP0212018_220622FTO_102139,Bank,22-06-2022,1,844,1,844,0,0,844,0
7437,212,212018,AP0212018_220622FTO_102144,Bank,22-06-2022,1,26304,24,26304,0,0,26304,0
7438,212,212006,AP0212006_220622APB_FTO_102146,Bank,22-06-2022,1,426093,373,421530,4,4563,421530,0
7439,212,212003,AP0212003_220622FTO_102148,Bank,22-06-2022,1,119013,99,117471,1,1542,117471,0
7440,212,212018,AP0212018_220622APB_FTO_102150,Bank,22-06-2022,1,335836,296,334992,1,844,334992,0
7441,212,212021,AP0212021_220622APB_FTO_102154,Bank,23-06-2022,1,588859,455,573172,11,15687,573172,0
7442,212,212006,AP0212006_220622APB_FTO_102167,Bank,22-06-2022,1,460677,408,455288,5,5389,455288,0
7443,212,212021,AP0212021_220622APB_FTO_102171,Bank,23-06-2022,1,171409,134,169214,2,2195,169214,0
7444,212,212021,AP0212021_220622FTO_102177,Bank,23-06-2022,1,37928,34,36372,1,1556,36372,0
7445,212,212006,AP0212006_220622APB_FTO_102193,Bank,22-06-2022,1,483999,415,479672,4,4327,479672,0
7446,212,212023,AP0212023_220622FTO_102204,Bank,22-06-2022,1,19824,15,19824,0,0,19824,0
7447,212,212023,AP0212023_220622APB_FTO_102208,Bank,22-06-2022,1,44888,37,44888,0,0,44888,0
7448,212,212023,AP0212023_220622APB_FTO_102216,Bank,22-06-2022,1,66414,62,65912,1,502,65912,0
7449,212,212006,AP0212006_220622APB_FTO_102224,Bank,22-06-2022,1,586111,520,579856,5,6255,579856,0
7450,212,212023,AP0212023_220622APB_FTO_102225,Bank,22-06-2022,1,80972,60,79542,1,1430,79542,0
7451,212,212023,AP0212023_220622APB_FTO_102233,Bank,22-06-2022,1,69771,50,68366,1,1405,68366,0
7452,212,212009,AP0212009_220622FTO_102236,Bank,22-06-2022,1,116065,147,116065,0,0,116065,0
7453,212,212006,AP0212006_220622APB_FTO_102252,Bank,22-06-2022,1,483136,456,475156,8,7980,475156,0
7454,212,212009,AP0212009_220622APB_FTO_102263,Bank,22-06-2022,1,542937,789,539586,5,3351,539586,0
7455,212,212016,AP0212016_220622FTO_102264,Bank,22-06-2022,1,88661,75,86208,2,2453,86208,0
7456,212,212006,AP0212006_220622APB_FTO_102265,Bank,22-06-2022,1,241366,274,238474,3,2892,238474,0
7457,212,212016,AP0212016_220622APB_FTO_102271,Bank,22-06-2022,1,243373,211,242162,1,1211,242162,0
7458,212,212009,AP0212009_220622APB_FTO_102301,Bank,22-06-2022,1,606514,789,601281,7,5233,601281,0
7459,212,212016,AP0212016_220622APB_FTO_102304,Bank,22-06-2022,1,351540,340,346556,5,4984,346556,0
7460,212,212009,AP0212009_220622APB_FTO_102308,Bank,22-06-2022,1,61217,103,61217,0,0,61217,0
7461,212,212009,AP0212009_220622FTO_102314,Bank To Cooperative,22-06-2022,1,416,0,0,0,0,0,0
7462,212,212023,AP0212023_220622FTO_102358,Bank,22-06-2022,1,6062,6,6062,0,0,6062,0
7463,212,212023,AP0212023_220622APB_FTO_102365,Bank,22-06-2022,1,24329,26,24329,0,0,24329,0
7464,212,212023,AP0212023_220622APB_FTO_102369,Bank,22-06-2022,1,24240,26,24240,0,0,24240,0
7465,212,212023,AP0212023_220622APB_FTO_102374,Bank,22-06-2022,1,29924,29,29924,0,0,29924,0
7466,212,212032,AP0212032_220622FTO_102386,Bank,22-06-2022,1,296572,252,294146,2,2426,294146,0
7467,212,212032,AP0212032_220622APB_FTO_102394,Bank,22-06-2022,1,481196,418,476802,5,4394,476802,0
7468,212,212032,AP0212032_220622FTO_102399,Bank To Cooperative,23-06-2022,1,2565,0,0,0,0,0,0
7469,212,212032,AP0212032_220622FTO_102403,Bank,22-06-2022,1,129449,110,128799,1,650,128799,0
7470,212,212008,AP0212008_220622FTO_102434,Bank,22-06-2022,1,125323,101,123097,2,2226,123097,0
7471,212,212008,AP0212008_220622APB_FTO_102455,Bank,22-06-2022,1,940355,789,934726,5,5629,934726,0
7472,212,212008,AP0212008_220622APB_FTO_102458,Bank,22-06-2022,1,200312,183,197744,2,2568,197744,0
7473,212,212008,AP0212008_220622FTO_102459,Bank To Cooperative,22-06-2022,1,1459,0,0,0,0,0,0
7474,212,212029,AP0212029_220622FTO_102461,Bank,23-06-2022,1,43509,36,43509,0,0,43509,0
7475,212,212004,AP0212004_220622FTO_102473,Bank,22-06-2022,1,134802,113,127605,7,7197,127605,0
7476,212,212029,AP0212029_220622APB_FTO_102478,Bank,23-06-2022,1,934970,759,923457,8,11513,923457,0
7477,212,212004,AP0212004_220622APB_FTO_102487,Bank,22-06-2022,1,384723,324,377002,6,7721,377002,0
7478,212,212017,AP0212017_220622APB_FTO_102488,Bank,23-06-2022,1,353137,367,351712,1,1425,351712,0
7479,212,212017,AP0212017_220622FTO_102490,Bank To Cooperative,24-06-2022,1,3309,0,0,0,0,0,0
7480,212,212032,AP0212032_230622APB_FTO_102515,Bank,23-06-2022,1,393685,347,393685,0,0,393685,0
7481,212,212032,AP0212032_230622APB_FTO_102521,Bank,23-06-2022,1,491378,415,487916,3,3462,487916,0
7482,212,212032,AP0212032_230622APB_FTO_102523,Bank,23-06-2022,1,419197,382,416073,3,3124,416073,0
7483,212,212017,AP0212017_230622FTO_102530,Bank,23-06-2022,1,35135,40,33878,1,1257,33878,0
7484,212,212002,AP0212002_230622APB_FTO_102535,Bank,23-06-2022,1,317513,255,313307,4,4206,313307,0
7485,212,212002,AP0212002_230622APB_FTO_102536,Bank,23-06-2022,1,87486,65,87486,0,0,87486,0
7486,212,212017,AP0212017_230622APB_FTO_102540,Bank,23-06-2022,1,376802,417,369079,9,7723,369079,0
7487,212,212002,AP0212002_230622FTO_102541,Bank,23-06-2022,1,73123,56,73123,0,0,73123,0
7488,212,212002,AP0212002_230622APB_FTO_102564,Bank,23-06-2022,1,333244,266,329213,3,4031,329213,0
7489,212,212002,AP0212002_230622APB_FTO_102565,Bank,23-06-2022,1,345039,294,343823,1,1216,343823,0
7490,212,212002,AP0212002_230622APB_FTO_102569,Bank,23-06-2022,1,443722,357,441519,2,2203,441519,0
7491,212,212002,AP0212002_230622APB_FTO_102572,Bank,23-06-2022,1,360224,336,358770,2,1454,358770,0
7492,212,212002,AP0212002_230622APB_FTO_102575,Bank,23-06-2022,1,250062,221,239518,9,10544,239518,0
7493,212,212034,AP0212034_230622FTO_102612,Bank,23-06-2022,1,14974,13,14974,0,0,14974,0
7494,212,212034,AP0212034_230622APB_FTO_102615,Bank,23-06-2022,1,105557,99,104397,1,1160,104397,0
7495,212,212034,AP0212034_230622APB_FTO_102618,Bank,23-06-2022,1,123642,114,122052,2,1590,122052,0
7496,212,212022,AP0212022_230622FTO_102691,Bank,23-06-2022,1,21385,15,20186,1,1199,20186,0
7497,212,212022,AP0212022_230622APB_FTO_102692,Bank,23-06-2022,1,73317,57,73317,0,0,73317,0
7498,212,212014,AP0212014_230622FTO_102716,Bank,23-06-2022,1,35216,27,35216,0,0,35216,0
7499,212,212004,AP0212004_230622FTO_102722,Bank To Cooperative,23-06-2022,1,601,0,0,0,0,0,0
7500,212,212004,AP0212004_230622APB_FTO_102736,Bank,23-06-2022,1,398505,413,393376,4,5129,393376,0
7501,212,212002,AP0212002_230622APB_FTO_102768,Bank,23-06-2022,1,363813,304,361900,2,1913,361900,0
7502,212,212014,AP0212014_230622FTO_102773,Bank,23-06-2022,1,45633,39,45633,0,0,45633,0
7503,212,212002,AP0212002_230622FTO_102775,Bank,23-06-2022,1,441777,363,432503,7,9274,432503,0
7504,212,212014,AP0212014_230622APB_FTO_102776,Bank,23-06-2022,1,165329,124,164076,1,1253,164076,0
7505,212,212014,AP0212014_230622APB_FTO_102785,Bank,23-06-2022,1,309879,271,304074,5,5805,304074,0
7506,212,212014,AP0212014_230622APB_FTO_102791,Bank,23-06-2022,1,214250,196,214250,0,0,214250,0
7507,212,212004,AP0212004_230622FTO_102875,Bank,23-06-2022,1,252735,222,247617,5,5118,247617,0
7508,212,212004,AP0212004_230622APB_FTO_102905,Bank,23-06-2022,1,819068,789,807540,10,11528,807540,0
7509,212,212004,AP0212004_230622FTO_102909,Bank To Cooperative,23-06-2022,1,1639,0,0,0,0,0,0
7510,212,212019,AP0212019_230622APB_FTO_102947,Bank,23-06-2022,1,867045,784,859304,8,7741,859304,0
7511,212,212019,AP0212019_230622APB_FTO_102962,Bank,23-06-2022,1,920684,795,916152,4,4532,916152,0
7512,212,212013,AP0212013_230622FTO_102973,Bank,23-06-2022,1,277499,259,277499,0,0,277499,0
7513,212,212019,AP0212019_230622APB_FTO_102974,Bank,23-06-2022,1,936897,795,934774,2,2123,934774,0
7514,212,212015,AP0212015_230622APB_FTO_102991,Bank,23-06-2022,1,121922,148,119627,2,2295,119627,0
7515,212,212015,AP0212015_230622APB_FTO_102993,Bank,23-06-2022,1,73500,75,73500,0,0,73500,0
7516,212,212015,AP0212015_230622FTO_102995,Bank,23-06-2022,1,34233,35,33253,1,980,33253,0
7517,212,212013,AP0212013_230622APB_FTO_103000,Bank,23-06-2022,1,660205,793,657968,3,2237,657968,0
7518,212,212013,AP0212013_230622APB_FTO_103015,Bank,23-06-2022,1,838070,795,833891,4,4179,833891,0
7519,212,212010,AP0212010_230622FTO_103040,Bank,23-06-2022,1,431715,402,423112,8,8603,423112,0
7520,212,212010,AP0212010_230622APB_FTO_103056,Bank,23-06-2022,1,816723,786,806707,9,10016,806707,0
7521,212,212004,AP0212004_230622FTO_103066,Bank,23-06-2022,1,96871,70,92673,3,4198,92673,0
7522,212,212034,AP0212034_230622APB_FTO_103070,Bank,23-06-2022,1,145581,109,145581,0,0,145581,0
7523,212,212010,AP0212010_230622APB_FTO_103071,Bank,23-06-2022,1,854979,795,852075,3,2904,852075,0
7524,212,212034,AP0212034_230622APB_FTO_103075,Bank,23-06-2022,1,142998,122,141434,1,1564,141434,0
7525,212,212034,AP0212034_230622APB_FTO_103081,Bank,23-06-2022,1,116871,99,115646,1,1225,115646,0
7526,212,212034,AP0212034_230622FTO_103083,Bank,23-06-2022,1,43770,37,43770,0,0,43770,0
7527,212,212034,AP0212034_230622APB_FTO_103085,Bank,23-06-2022,1,37502,53,37502,0,0,37502,0
7528,212,212001,AP0212001_230622APB_FTO_103128,Bank,23-06-2022,1,782743,795,781921,2,822,781921,0
7529,212,212010,AP0212010_230622APB_FTO_103147,Bank,23-06-2022,1,776356,795,772498,4,3858,772498,0
7530,212,212010,AP0212010_230622APB_FTO_103168,Bank,23-06-2022,1,76516,102,76516,0,0,76516,0
7531,212,212010,AP0212010_230622APB_FTO_103173,Bank,23-06-2022,1,353031,313,348281,4,4750,348281,0
7532,212,212001,AP0212001_230622FTO_103183,Bank,23-06-2022,1,182832,179,177558,5,5274,177558,0
7533,212,212024,AP0212024_230622FTO_103188,Bank,23-06-2022,1,74038,59,74038,0,0,74038,0
7534,212,212001,AP0212001_230622APB_FTO_103208,Bank,23-06-2022,1,810792,793,806571,4,4221,806571,0
7535,212,212024,AP0212024_230622APB_FTO_103210,Bank,23-06-2022,1,478193,402,471988,7,6205,471988,0
7536,212,212001,AP0212001_230622APB_FTO_103216,Bank,23-06-2022,1,150109,213,150109,0,0,150109,0
7537,212,212024,AP0212024_230622APB_FTO_103222,Bank,23-06-2022,1,192055,164,186944,4,5111,186944,0
7538,212,212003,AP0212003_230622FTO_103323,Bank,23-06-2022,1,24739,29,24739,0,0,24739,0
7539,212,212003,AP0212003_230622APB_FTO_103329,Bank,23-06-2022,1,169868,224,169106,1,762,169106,0
7540,212,212004,AP0212004_230622FTO_103404,Bank,23-06-2022,1,159020,117,148664,8,10356,148664,0
7541,212,212021,AP0212021_230622FTO_103416,Bank,23-06-2022,1,108659,79,107337,1,1322,107337,0
7542,212,212034,AP0212034_230622FTO_103428,Bank,23-06-2022,1,12233,14,12233,0,0,12233,0
7543,212,212034,AP0212034_230622APB_FTO_103430,Bank,23-06-2022,1,30546,38,30546,0,0,30546,0
7544,212,212004,AP0212004_230622APB_FTO_103442,Bank,23-06-2022,1,317787,298,315541,2,2246,315541,0
7545,212,212020,AP0212020_230622FTO_103447,Bank,23-06-2022,1,62049,53,62049,0,0,62049,0
7546,212,212021,AP0212021_230622APB_FTO_103454,Bank,23-06-2022,1,374090,288,369895,4,4195,369895,0
7547,212,212020,AP0212020_230622APB_FTO_103461,Bank,23-06-2022,1,372328,321,370926,1,1402,370926,0
7548,212,212004,AP0212004_230622APB_FTO_103480,Bank,23-06-2022,1,434034,343,423899,8,10135,423899,0
7549,212,212007,AP0212007_230622FTO_103483,Bank,24-06-2022,1,33090,39,32900,1,190,32900,0
7550,212,212018,AP0212018_230622FTO_103489,Bank,23-06-2022,1,90835,100,90835,0,0,90835,0
7551,212,212023,AP0212023_230622FTO_103497,Bank,23-06-2022,1,124148,102,118812,4,5336,118812,0
7552,212,212007,AP0212007_230622APB_FTO_103499,Bank,24-06-2022,1,324615,345,322634,3,1981,322634,0
7553,212,212004,AP0212004_230622APB_FTO_103501,Bank,23-06-2022,1,421199,318,414350,5,6849,414350,0
7554,212,212022,AP0212022_230622FTO_103502,Bank,23-06-2022,1,206246,164,200316,5,5930,200316,0
7555,212,212011,AP0212011_230622APB_FTO_103507,Bank,23-06-2022,1,417485,366,415610,2,1875,415610,0
7556,212,212023,AP0212023_230622APB_FTO_103512,Bank,23-06-2022,1,34584,32,34584,0,0,34584,0
7557,212,212004,AP0212004_230622APB_FTO_103519,Bank,23-06-2022,1,272000,206,267797,3,4203,267797,0
7558,212,212011,AP0212011_230622FTO_103522,Bank,23-06-2022,1,28180,22,27144,1,1036,27144,0
7559,212,212018,AP0212018_230622APB_FTO_103526,Bank,23-06-2022,1,663048,686,657925,5,5123,657925,0
7560,212,212023,AP0212023_230622APB_FTO_103529,Bank,23-06-2022,1,109055,100,109055,0,0,109055,0
7561,212,212004,AP0212004_230622APB_FTO_103535,Bank,23-06-2022,1,182982,208,180734,3,2248,180734,0
7562,212,212004,AP0212004_230622FTO_103539,Bank To Cooperative,23-06-2022,1,4767,0,0,0,0,0,0
7563,212,212022,AP0212022_230622APB_FTO_103539,Bank,23-06-2022,1,790209,651,773151,15,17058,773151,0
7564,212,212023,AP0212023_230622APB_FTO_103549,Bank,23-06-2022,1,163622,141,163622,0,0,163622,0
7565,212,212005,AP0212005_230622FTO_103553,Bank,23-06-2022,1,24685,29,24685,0,0,24685,0
7566,212,212023,AP0212023_230622APB_FTO_103566,Bank,23-06-2022,1,182474,134,182474,0,0,182474,0
7567,212,212005,AP0212005_230622APB_FTO_103573,Bank,23-06-2022,1,359195,398,356789,3,2406,356789,0
7568,212,212023,AP0212023_230622APB_FTO_103578,Bank,23-06-2022,1,134800,108,134800,0,0,134800,0
7569,212,212023,AP0212023_230622APB_FTO_103594,Bank,23-06-2022,1,174656,131,170411,3,4245,170411,0
7570,212,212023,AP0212023_230622APB_FTO_103616,Bank,23-06-2022,1,164461,143,161571,2,2890,161571,0
7571,212,212023,AP0212023_230622APB_FTO_103637,Bank,23-06-2022,1,23940,18,22527,1,1413,22527,0
7572,212,212023,AP0212023_230622APB_FTO_103643,Bank,23-06-2022,1,48711,38,47567,1,1144,47567,0
7573,212,212028,AP0212028_230622FTO_103648,Bank,24-06-2022,1,8377,7,8377,0,0,8377,0
7574,212,212028,AP0212028_230622APB_FTO_103651,Bank,24-06-2022,1,91093,75,89894,1,1199,89894,0
7575,212,212023,AP0212023_230622APB_FTO_103669,Bank,23-06-2022,1,49690,48,49690,0,0,49690,0
7576,212,212023,AP0212023_230622APB_FTO_103679,Bank,23-06-2022,1,83086,86,83086,0,0,83086,0
7577,212,212010,AP0212010_230622APB_FTO_103719,Bank,23-06-2022,1,375583,448,373139,2,2444,373139,0
7578,212,212010,AP0212010_230622FTO_103720,Bank,23-06-2022,1,72007,72,70879,1,1128,70879,0
7579,212,212006,AP0212006_230622FTO_103747,Bank,23-06-2022,1,116695,139,111095,7,5600,111095,0
7580,212,212006,AP0212006_230622FTO_103753,Bank,23-06-2022,1,85465,82,84513,1,952,84513,0
7581,212,212029,AP0212029_230622FTO_103755,Bank,23-06-2022,1,298151,268,294779,3,3372,294779,0
7582,212,212029,AP0212029_230622APB_FTO_103761,Bank,23-06-2022,1,397067,319,394719,2,2348,394719,0
7583,212,212029,AP0212029_230622APB_FTO_103776,Bank,23-06-2022,1,859531,797,857001,2,2530,857001,0
7584,212,212016,AP0212016_230622FTO_103801,Bank,23-06-2022,1,94766,83,92624,2,2142,92624,0
7585,212,212032,AP0212032_230622FTO_103814,Bank,23-06-2022,1,26360,20,26360,0,0,26360,0
7586,212,212026,AP0212026_230622FTO_103816,Bank,23-06-2022,1,56456,60,56456,0,0,56456,0
7587,212,212032,AP0212032_230622APB_FTO_103817,Bank,23-06-2022,1,99608,76,99608,0,0,99608,0
7588,212,212016,AP0212016_230622APB_FTO_103822,Bank,23-06-2022,1,433610,430,430783,2,2827,430783,0
7589,212,212026,AP0212026_230622APB_FTO_103842,Bank,23-06-2022,1,447078,436,440815,6,6263,440815,0
7590,212,212008,AP0212008_230622FTO_103870,Bank,23-06-2022,1,66031,60,66031,0,0,66031,0
7591,212,212004,AP0212004_230622FTO_103873,Bank,23-06-2022,1,15895,27,15895,0,0,15895,0
7592,212,212004,AP0212004_230622APB_FTO_103878,Bank,23-06-2022,1,72249,105,71770,1,479,71770,0
7593,212,212004,AP0212004_230622FTO_103880,Bank To Cooperative,23-06-2022,1,958,0,0,0,0,0,0
7594,212,212014,AP0212014_230622FTO_103881,Bank,23-06-2022,1,19721,19,19721,0,0,19721,0
7595,212,212008,AP0212008_230622APB_FTO_103890,Bank,23-06-2022,1,858643,794,857516,1,1127,857516,0
7596,212,212008,AP0212008_230622FTO_103893,Bank To Cooperative,23-06-2022,1,2640,0,0,0,0,0,0
7597,212,212016,AP0212016_230622APB_FTO_103897,Bank,23-06-2022,1,4626,2,3084,1,1542,3084,0
7598,212,212014,AP0212014_230622APB_FTO_103902,Bank,23-06-2022,1,167584,165,166699,1,885,166699,0
7599,212,212029,AP0212029_230622APB_FTO_103912,Bank,23-06-2022,1,722069,786,719362,4,2707,719362,0
7600,212,212006,AP0212006_230622FTO_103923,Bank,23-06-2022,1,9978,17,9089,2,889,9089,0
7601,212,212029,AP0212029_230622APB_FTO_103925,Bank,23-06-2022,1,931569,792,926259,4,5310,926259,0
7602,212,212006,AP0212006_230622APB_FTO_103933,Bank,23-06-2022,1,315885,363,313294,3,2591,313294,0
7603,212,212006,AP0212006_230622APB_FTO_103943,Bank,23-06-2022,1,301825,381,295136,11,6689,295136,0
7604,212,212017,AP0212017_230622APB_FTO_103946,Bank,24-06-2022,1,435101,434,434440,1,661,434440,0
7605,212,212017,AP0212017_230622FTO_103947,Bank,24-06-2022,1,37943,37,37943,0,0,37943,0
7606,212,212017,AP0212017_230622APB_FTO_103963,Bank,24-06-2022,1,292904,256,289387,3,3517,289387,0
7607,212,212017,AP0212017_230622FTO_103964,Bank,24-06-2022,1,27991,28,27991,0,0,27991,0
7608,212,212017,AP0212017_240622FTO_103975,Bank,24-06-2022,1,28561,33,28561,0,0,28561,0
7609,212,212017,AP0212017_240622APB_FTO_103977,Bank,24-06-2022,1,274933,344,273464,2,1469,273464,0
7610,212,212017,AP0212017_240622FTO_103980,Bank,24-06-2022,1,3193,3,3193,0,0,3193,0
7611,212,212010,AP0212010_240622APB_FTO_103992,Bank,24-06-2022,1,95520,75,95520,0,0,95520,0
7612,212,212010,AP0212010_240622FTO_103993,Bank,24-06-2022,1,41283,30,38337,2,2946,38337,0
7613,212,212029,AP0212029_240622FTO_104048,Bank,24-06-2022,1,274,1,274,0,0,274,0
7614,212,212029,AP0212029_240622APB_FTO_104050,Bank,24-06-2022,1,212656,187,207172,4,5484,207172,0
7615,212,212012,AP0212012_240622FTO_104101,Bank,24-06-2022,1,146601,107,139516,5,7085,139516,0
7616,212,212012,AP0212012_240622FTO_104105,Bank,24-06-2022,1,55123,41,53615,1,1508,53615,0
7617,212,212012,AP0212012_240622APB_FTO_104106,Bank,24-06-2022,1,63590,60,63590,0,0,63590,0
7618,212,212006,AP0212006_240622APB_FTO_104107,Bank,24-06-2022,1,417899,417,413312,5,4587,413312,0
7619,212,212012,AP0212012_240622APB_FTO_104111,Bank,24-06-2022,1,288950,258,287912,1,1038,287912,0
7620,212,212012,AP0212012_240622APB_FTO_104119,Bank,24-06-2022,1,223099,212,221972,1,1127,221972,0
7621,212,212006,AP0212006_240622FTO_104122,Bank,24-06-2022,1,3261,4,3261,0,0,3261,0
7622,212,212012,AP0212012_240622APB_FTO_104125,Bank,24-06-2022,1,73026,74,73026,0,0,73026,0
7623,212,212006,AP0212006_240622APB_FTO_104130,Bank,24-06-2022,1,10816,11,9813,1,1003,9813,0
7624,212,212012,AP0212012_240622APB_FTO_104136,Bank,24-06-2022,1,354182,242,352660,1,1522,352660,0
7625,212,212012,AP0212012_240622APB_FTO_104141,Bank,24-06-2022,1,134884,121,134884,0,0,134884,0
7626,212,212012,AP0212012_240622APB_FTO_104151,Bank,24-06-2022,1,212541,206,210155,2,2386,210155,0
7627,212,212012,AP0212012_240622APB_FTO_104158,Bank,24-06-2022,1,190971,138,190971,0,0,190971,0
7628,212,212012,AP0212012_240622APB_FTO_104160,Bank,24-06-2022,1,146303,101,143527,2,2776,143527,0
7629,212,212012,AP0212012_240622APB_FTO_104162,Bank,24-06-2022,1,125907,84,125907,0,0,125907,0
7630,212,212020,AP0212020_240622FTO_104312,Bank,24-06-2022,1,40219,33,39119,1,1100,39119,0
7631,212,212004,AP0212004_240622FTO_104321,Bank,24-06-2022,1,170022,140,162593,7,7429,162593,0
7632,212,212020,AP0212020_240622APB_FTO_104322,Bank,24-06-2022,1,280675,235,279425,1,1250,279425,0
7633,212,212019,AP0212019_240622APB_FTO_104323,Bank,24-06-2022,1,716441,695,714526,3,1915,714526,0
7634,212,212004,AP0212004_240622APB_FTO_104337,Bank,24-06-2022,1,330599,313,324180,6,6419,324180,0
7635,212,212019,AP0212019_240622FTO_104338,Bank,24-06-2022,1,168263,147,166823,1,1440,166823,0
7636,212,212014,AP0212014_240622FTO_104347,Bank,24-06-2022,1,32322,23,32322,0,0,32322,0
7637,212,212004,AP0212004_240622APB_FTO_104350,Bank,24-06-2022,1,398875,340,390856,6,8019,390856,0
7638,212,212014,AP0212014_240622APB_FTO_104359,Bank,24-06-2022,1,168814,123,168814,0,0,168814,0
7639,212,212014,AP0212014_240622FTO_104380,Bank,24-06-2022,1,4144,3,4144,0,0,4144,0
7640,212,212014,AP0212014_240622APB_FTO_104387,Bank,24-06-2022,1,22544,16,22544,0,0,22544,0
7641,212,212014,AP0212014_240622FTO_104431,Bank,24-06-2022,1,2126,2,2126,0,0,2126,0
7642,212,212014,AP0212014_240622APB_FTO_104435,Bank,24-06-2022,1,17008,16,17008,0,0,17008,0
7643,212,212034,AP0212034_240622FTO_104619,Bank,24-06-2022,1,17907,17,17907,0,0,17907,0
7644,212,212034,AP0212034_240622APB_FTO_104659,Bank,24-06-2022,1,321064,269,321064,0,0,321064,0
7645,212,212027,AP0212027_240622FTO_104676,Bank,24-06-2022,1,380253,255,344929,26,35324,344929,0
7646,212,212027,AP0212027_240622FTO_104735,Bank,24-06-2022,1,242157,188,222072,16,20085,222072,0
7647,212,212007,AP0212007_240622FTO_104757,Bank,24-06-2022,1,9464,14,9464,0,0,9464,0
7648,212,212027,AP0212027_240622FTO_104762,Bank,24-06-2022,1,327736,233,286603,33,41133,286603,0
7649,212,212007,AP0212007_240622APB_FTO_104769,Bank,24-06-2022,1,172992,187,171269,2,1723,171269,0
7650,212,212003,AP0212003_240622FTO_104813,Bank,24-06-2022,1,25539,44,25539,0,0,25539,0
7651,212,212003,AP0212003_240622APB_FTO_104819,Bank,24-06-2022,1,134149,220,132739,2,1410,132739,0
7652,212,212016,AP0212016_240622FTO_104841,Bank,24-06-2022,1,1542,1,1542,0,0,1542,0
7653,212,212016,AP0212016_240622APB_FTO_104847,Bank,24-06-2022,1,35346,26,35346,0,0,35346,0
7654,212,212016,AP0212016_240622FTO_104851,Bank,24-06-2022,1,925,1,925,0,0,925,0
7655,212,212012,AP0212012_240622FTO_104901,Bank,24-06-2022,1,30063,36,28709,1,1354,28709,0
7656,212,212012,AP0212012_240622APB_FTO_104914,Bank,24-06-2022,1,176128,189,174904,1,1224,174904,0
7657,212,212012,AP0212012_240622APB_FTO_104924,Bank,24-06-2022,1,77299,100,77299,0,0,77299,0
7658,212,212027,AP0212027_240622APB_FTO_104925,Bank,24-06-2022,1,352751,259,352751,0,0,352751,0
7659,212,212011,AP0212011_240622FTO_104931,Bank,24-06-2022,1,57873,49,57873,0,0,57873,0
7660,212,212012,AP0212012_240622APB_FTO_104937,Bank,24-06-2022,1,114592,128,114592,0,0,114592,0
7661,212,212012,AP0212012_240622APB_FTO_104942,Bank,24-06-2022,1,65901,81,65901,0,0,65901,0
7662,212,212012,AP0212012_240622APB_FTO_104948,Bank,24-06-2022,1,60626,53,60626,0,0,60626,0
7663,212,212012,AP0212012_240622APB_FTO_104955,Bank,24-06-2022,1,75765,74,75765,0,0,75765,0
7664,212,212012,AP0212012_240622APB_FTO_104962,Bank,24-06-2022,1,94358,80,93100,1,1258,93100,0
7665,212,212007,AP0212007_240622FTO_104965,Bank,24-06-2022,1,55708,56,55462,1,246,55462,0
7666,212,212027,AP0212027_240622APB_FTO_104984,Bank,24-06-2022,1,375538,275,375538,0,0,375538,0
7667,212,212007,AP0212007_240622APB_FTO_105020,Bank,24-06-2022,1,447018,567,442684,5,4334,442684,0
7668,212,212014,AP0212014_240622FTO_105029,Bank,24-06-2022,1,16098,16,16098,0,0,16098,0
7669,212,212024,AP0212024_240622FTO_105042,Bank,24-06-2022,1,79713,82,73429,6,6284,73429,0
7670,212,212024,AP0212024_240622FTO_105045,Bank To Cooperative,24-06-2022,1,1100,0,0,0,0,0,0
